Date,Return,Interest,Gold,Volatility,Price,Goldprice
1999-02-23,-0.000937354,0.0475,0.001392515,0.1185,1.561524047,287.45
1999-02-24,0.013836699,0.0475,0.001216862,0.1205,1.583280557,287.8
1999-02-25,0.010344645,0.0475,0.000173717,0.1215,1.599744041,287.85
1999-02-26,0.010129518,0.0475,-0.002783095,0.1235,1.616031028,287.05
1999-03-01,0.003075182,0.0475,-0.002266982,0.126,1.621008267,286.4
1999-03-02,-0.006785163,0.0475,0.001221321,0.12175,1.610046691,286.75
1999-03-03,-0.003696268,0.0475,-0.000697715,0.1205,1.604106513,286.55
1999-03-04,-0.002243231,0.0475,0.005568137,0.1185,1.600512164,288.15
1999-03-05,-0.005586161,0.0475,0.001040583,0.1175,1.591596371,288.45
1999-03-08,-0.003178137,0.0475,0.010861239,0.1125,1.586546089,291.6
1999-03-09,-0.009945618,0.0475,0.000856972,0.11225,1.570845115,291.85
1999-03-10,0.002201605,0.0475,0.003079031,0.1125,1.574307305,292.75
1999-03-11,-0.001258653,0.0475,0.005790207,0.1125,1.572327044,294.45
1999-03-12,-0.000471587,0.0475,-0.007157495,0.1125,1.57158573,292.35
1999-03-15,0.009474254,0.0475,-0.018817992,0.1115,1.586546089,286.9
1999-03-16,0.006366407,0.0475,-0.012097982,0.115,1.596678908,283.45
1999-03-17,-0.000798021,0.0475,0.001762426,0.1145,1.595405233,283.95
1999-03-18,-0.003821661,0.0475,-0.003527963,0.1145,1.589319771,282.95
1999-03-19,-0.002063984,0.0475,0.004583929,0.1085,1.586042823,284.25
1999-03-22,-0.005378058,0.0475,0.001406223,0.1065,1.577535889,284.65
1999-03-23,-0.008795408,0.0475,-0.00035137,0.1065,1.563721658,284.55
1999-03-24,-0.000469006,0.0475,-0.00263922,0.1045,1.562988434,283.8
1999-03-25,0.005328331,0.0475,-0.001763358,0.1035,1.571338781,283.3
1999-03-26,0.001729968,0.0475,-0.01261006,0.1005,1.574059499,279.75
1999-03-29,0.004259017,0.0475,0.002142475,0.1025,1.580777743,280.35
1999-03-30,0.00889177,0.0475,-0.003931385,0.1065,1.594896332,279.25
1999-03-31,-0.011575488,0.0475,0.002860721,0.1045,1.576541069,280.05
1999-04-01,-0.002676535,0.0475,0.001427297,0.1035,1.572327044,280.45
1999-04-02,0.002518893,0.0475,-0.002141711,0.1045,1.57629256,279.85
1999-04-05,0.004581729,0.0475,-0.005015235,0.1045,1.583531275,278.45
1999-04-06,0.003013245,0.0475,0.005372506,0.105,1.588310038,279.95
1999-04-07,0.002863053,0.0475,0.002140946,0.0995,1.592863969,280.55
1999-04-08,0.004150046,0.0475,0.000356379,0.1025,1.599488164,280.65
1999-04-09,-0.010342999,0.0475,0.00320171,0.0955,1.583029919,281.55
1999-04-12,-0.007255552,0.0475,0.00460667,0.0955,1.57158573,282.85
1999-04-13,-0.000314268,0.0475,0.001766161,0.0945,1.571091909,283.35
1999-04-14,0,0.0475,-0.006728071,0.0965,1.571091909,281.45
1999-04-15,-0.003450443,0.0475,0.009019426,0.0955,1.565680288,284
1999-04-16,-0.013375005,0.0475,0.000879894,0.0985,1.544878727,284.25
1999-04-19,-0.006467531,0.0475,0.002108593,0.1035,1.534919417,284.85
1999-04-20,0.006313055,0.0475,-0.001405235,0.1015,1.544640099,284.45
1999-04-21,0.000154476,0.0475,-0.002111562,0.1025,1.544878727,283.85
1999-04-22,-0.0061605,0.0475,-0.001057455,0.1005,1.535390757,283.55
1999-04-23,-0.000460511,0.0475,0,0.1055,1.534683855,283.55
1999-04-26,0.004460517,0.0475,-0.008144521,0.1035,1.541544628,281.25
1999-04-27,-0.003539282,0.0475,0.002663117,0.0975,1.53609831,282
1999-04-28,-0.000307172,0.0475,0.003363133,0.0985,1.535626536,282.95
1999-04-29,-0.011603184,0.0475,0.010896417,0.0995,1.517911354,286.05
1999-04-30,-0.003787596,0.0475,0.00174642,0.1015,1.512172993,286.55
1999-05-03,-0.004676783,0.0475,-0.000698202,0.1025,1.505117399,286.35
1999-05-04,0.004223234,0.0475,-0.00297281,0.103,1.511487304,285.5
1999-05-05,-0.000906481,0.0475,0.006110888,0.1035,1.510117789,287.25
1999-05-06,-0.010066947,0.0475,0.007975077,0.10875,1.494991778,289.55
1999-05-07,-0.004921343,0.0475,-0.023764879,0.1105,1.487652484,282.75
1999-05-10,0.005818741,0.0475,-0.014247792,0.1105,1.496333982,278.75
1999-05-11,-0.004329981,0.0475,-0.001795333,0.1105,1.489868892,278.25
1999-05-12,0.006726986,0.0475,-0.003239744,0.1115,1.499925004,277.35
1999-05-13,-0.001199221,0.0475,0.001441182,0.11175,1.498127341,277.75
1999-05-14,0.005257241,0.0475,-0.006501739,0.1105,1.506024096,275.95
1999-05-17,-0.002707176,0.0475,-0.005268429,0.1125,1.501952538,274.5
1999-05-18,-0.007630769,0.0475,-0.002005653,0.1145,1.490535102,273.95
1999-05-19,0.011241968,0.0475,-0.00365698,0.1165,1.507386192,272.95
1999-05-20,0.002263639,0.0475,0.005480467,0.1135,1.510802236,274.45
1999-05-21,0.006517643,0.0475,-0.005480467,0.1075,1.520681265,272.95
1999-05-24,-0.003036747,0.0475,-0.001099707,0.111,1.516070346,272.65
1999-05-25,0.004406297,0.0475,-0.007731997,0.1105,1.522765342,270.55
1999-05-26,0.01025493,0.0475,-0.004816608,0.1135,1.538461538,269.25
1999-05-27,0.002464573,0.0475,0.004631782,0.1085,1.542257866,270.5
1999-05-28,-0.006303349,0.0475,-0.00018486,0.1085,1.53256705,270.45
1999-05-31,0.00476228,0.0475,-0.000369822,0.111,1.539882969,270.35
1999-06-01,0.008971445,0.0475,-0.010037259,0.1155,1.553760099,267.65
1999-06-02,-0.001397407,0.0475,-0.008442035,0.113,1.55159038,265.4
1999-06-03,-0.007574037,0.0475,0.002446139,0.109,1.539882969,266.05
1999-06-04,-0.013915662,0.0475,-0.004709437,0.1095,1.518602885,264.8
1999-06-07,-0.001062457,0.0475,0.002828323,0.1125,1.516990291,265.55
1999-06-08,0.00060698,0.0475,-0.012886288,0.1095,1.517911354,262.15
1999-06-09,0.000151803,0.0475,-0.010738358,0.11,1.518141794,259.35
1999-06-10,-0.006054203,0.0475,-0.003476249,0.11,1.508978422,258.45
1999-06-11,-0.00436649,0.0475,0.00847626,0.11,1.502403846,260.65
1999-06-14,0.003461513,0.0475,0,0.1105,1.507613448,260.65
1999-06-15,0.008630533,0.0475,-0.005771467,0.108,1.520681265,259.15
1999-06-16,0.00015208,0.0475,-0.002511351,0.104,1.520912548,258.5
1999-06-17,-0.00045617,0.0475,-0.000193442,0.099,1.520218912,258.45
1999-06-18,0.008089795,0.0475,0.004247111,0.0985,1.53256705,259.55
1999-06-21,0.006303349,0.0475,-0.002700619,0.1015,1.542257866,258.85
1999-06-22,-0.009516572,0.0475,-0.001159645,0.102,1.527650474,258.55
1999-06-23,-0.005484474,0.0475,0.008089412,0.1015,1.519295047,260.65
1999-06-24,-0.001214698,0.0475,0.000383583,0.0975,1.517450683,260.75
1999-06-25,-0.003937609,0.0475,-0.001919386,0.0955,1.511487304,260.25
1999-06-28,0.005000389,0.0475,0.001919386,0.099,1.519064256,260.75
1999-06-29,0.00121599,0.0475,0,0.0985,1.520912548,260.75
1999-06-30,-0.003795071,0.0475,0.006688988,0.09825,1.515151515,262.5
1999-07-01,-0.012347695,0.0475,0.003422707,0.102,1.496557917,263.4
1999-07-02,-0.000448867,0.0475,0.000379579,0.1005,1.495886313,263.5
1999-07-05,0.002246351,0.0475,-0.004755121,0.09975,1.499250375,262.25
1999-07-06,0.001050026,0.0475,-0.02080599,0.1015,1.500825454,256.85
1999-07-07,0.002404209,0.0475,0.001167315,0.0975,1.504438092,257.15
1999-07-08,-0.00045123,0.0475,-0.002530908,0.098,1.503759398,256.5
1999-07-09,-0.00150263,0.0475,0.001752849,0.099,1.501501502,256.95
1999-07-12,0.006779687,0.0475,-0.005072192,0.0985,1.511715797,255.65
1999-07-13,0.004545462,0.0475,0.000782014,0.0995,1.518602885,255.85
1999-07-14,0.001367677,0.0475,-0.007060237,0.1015,1.520681265,254.05
1999-07-15,-0.007725555,0.0475,0.000196792,0.09875,1.508978422,254.1
1999-07-16,0.003173886,0.0475,-0.000984349,0.1005,1.513775356,253.85
1999-07-19,0.01402462,0.0475,-0.002366398,0.1,1.535155051,253.25
1999-07-20,0.004461889,0.0475,0.000394789,0.1125,1.542020046,253.35
1999-07-21,0.005566738,0.0475,0.007667392,0.1025,1.550628004,255.3
1999-07-22,-0.002323241,0.0475,0.000587372,0.101,1.547029703,255.45
1999-07-23,-0.001545834,0.0475,-0.003136642,0.1005,1.544640099,254.65
1999-07-26,-0.001543448,0.0475,-0.002555786,0.1,1.542257866,254
1999-07-27,0.006498553,0.0475,0.000983768,0.1005,1.552312946,254.25
1999-07-28,-0.000775855,0.0475,-0.000393391,0.101,1.551109043,254.15
1999-07-29,-0.009263614,0.0475,0.010178205,0.1,1.536806516,256.75
1999-07-30,-0.002302557,0.0475,-0.003120736,0.0985,1.533272002,255.95
1999-08-02,0.002148888,0.0475,-0.003130505,0.0995,1.536570375,255.15
1999-08-03,-0.00505787,0.0475,0.004301923,0.098,1.528818224,256.25
1999-08-04,-0.007918421,0.0475,-0.00039032,0.09975,1.5167602,256.15
1999-08-05,0.006848821,0.0475,-0.001562806,0.099,1.527183873,255.75
1999-08-06,0.002599589,0.0475,0.001562806,0.098,1.531159087,256.15
1999-08-09,-0.000918274,0.0475,0.004285164,0.0985,1.52975371,257.25
1999-08-10,0.003831716,0.0475,0.001165501,0.09475,1.535626536,257.55
1999-08-11,0.003538193,0.0475,0.005421117,0.0945,1.541069502,258.95
1999-08-12,-0.000770238,0.0475,0.006927101,0.0935,1.539882969,260.75
1999-08-13,-0.004455719,0.0475,-0.000383583,0.0955,1.533036946,260.65
1999-08-16,0.004763743,0.0475,-0.002304591,0.0925,1.540357363,260.05
1999-08-17,0.000154048,0.0475,0.005560363,0.091,1.54059467,261.5
1999-08-18,0.004322996,0.0475,-0.007099713,0.0955,1.54726907,259.65
1999-08-19,0.015436496,0.0475,-0.004438876,0.107,1.571338781,258.5
1999-08-20,0.000314317,0.0475,-0.004264399,0.1015,1.571832757,257.4
1999-08-23,0.000628931,0.0475,-0.01231326,0.1025,1.572821642,254.25
1999-08-24,-0.000314515,0.0475,-0.003940892,0.1015,1.572327044,253.25
1999-08-25,0.004570176,0.0475,-0.002767894,0.107,1.5795293,252.55
1999-08-26,0.00395664,0.0475,0.000791609,0.1055,1.58579131,252.75
1999-08-27,-0.001584535,0.0475,0.003948672,0.1015,1.583280557,253.75
1999-08-30,-0.00221414,0.0475,0.000787867,0.1025,1.579778831,253.95
1999-08-31,-0.010685205,0.0475,0.006789265,0.101,1.562988434,255.68
1999-09-01,0.002033952,0.0475,-0.007183121,0.1,1.566170713,253.85
1999-09-02,-0.003907781,0.0475,0.006283154,0.0985,1.560062402,255.45
1999-09-03,-0.008853052,0.0475,-0.004708661,0.0965,1.546312046,254.25
1999-09-06,0.002787242,0.0475,0.001768347,0.097,1.550628004,254.7
1999-09-07,-0.003251028,0.0475,0.004504953,0.097,1.545595054,255.85
1999-09-08,-0.002315709,0.0475,0.001171875,0.098,1.542020046,256.15
1999-09-09,-0.006915126,0.0475,0.004285164,0.096,1.531393568,257.25
1999-09-10,0.002146253,0.0475,-0.002724797,0.094,1.534683855,256.55
1999-09-13,-0.007796416,0.0475,-0.000389864,0.0965,1.522765342,256.45
1999-09-14,0.003355708,0.0475,0.003114661,0.09675,1.527883881,257.25
1999-09-15,0.008901225,0.0475,-0.002724797,0.09825,1.541544628,256.55
1999-09-16,0.004325667,0.0475,-0.000779879,0.1005,1.54822728,256.35
1999-09-17,-0.001392435,0.0475,-0.004300241,0.099,1.546072975,255.25
1999-09-20,0.007137346,0.0475,-0.000979912,0.103,1.557147306,255
1999-09-21,-0.007137346,0.0475,0.022490285,0.1015,1.546072975,260.8
1999-09-22,-0.007240269,0.0475,0.014276439,0.0995,1.534919417,264.55
1999-09-23,0.002305034,0.0475,0.006405448,0.09725,1.538461538,266.25
1999-09-24,-0.001230012,0.0475,0.009345862,0.0975,1.536570375,268.75
1999-09-27,-0.004140158,0.0475,0.050852267,0.0985,1.530221882,282.77
1999-09-28,-0.001529052,0.0475,0.088707431,0.1,1.527883881,309
1999-09-29,0.001529052,0.0475,-0.023742417,0.106,1.530221882,301.75
1999-09-30,0.000765404,0.0475,-0.009991757,0.107,1.531393568,298.75
1999-10-01,-0.003821174,0.0475,0.033734174,0.1055,1.525553013,309
1999-10-04,-0.010320322,0.0475,0.026663989,0.1085,1.509889778,317.35
1999-10-05,-0.000905524,0.0475,0.025357196,0.113,1.508523156,325.5
1999-10-06,0.002416555,0.0475,-0.003076926,0.1075,1.512172993,324.5
1999-10-07,0.000453755,0.0475,-0.0052526,0.1045,1.512859304,322.8
1999-10-08,0.009729478,0.0475,-0.0082433,0.10475,1.527650474,320.15
1999-10-11,0.0004584,0.0475,-0.006738253,0.104,1.528350909,318
1999-10-12,-0.001221934,0.0475,0.001571092,0.104,1.526484506,318.5
1999-10-13,0.012441601,0.0475,0.010929071,0.101,1.545595054,322
1999-10-14,-0.00554872,0.0475,-0.026752185,0.1045,1.53704273,313.5
1999-10-15,0.005085148,0.0475,0.005249356,0.10425,1.544878727,315.15
1999-10-18,0.004645409,0.0475,-0.011649378,0.1065,1.552072016,311.5
1999-10-19,-0.007114165,0.0475,-0.009677495,0.104,1.541069502,308.5
1999-10-20,0.004479118,0.0475,-0.009608412,0.1005,1.547987616,305.55
1999-10-21,-0.003399787,0.0475,-0.001965603,0.1055,1.542733724,304.95
1999-10-22,-0.001233426,0.0475,-0.008397184,0.09675,1.540832049,302.4
1999-10-25,-0.003537649,0.0475,-0.014657158,0.0985,1.535390757,298
1999-10-26,0.000921659,0.0475,-0.031532225,0.09725,1.536806516,288.75
1999-10-27,0.011126679,0.0475,0.017508171,0.1005,1.554001554,293.85
1999-10-28,-0.002948253,0.0475,0.01737414,0.0975,1.549426712,299
1999-10-29,0.009965825,0.0475,0.000668673,0.0985,1.564945227,299.2
1999-11-01,0.001252741,0.0475,-0.030369626,0.0995,1.566906926,290.25
1999-11-02,-0.003909615,0.0475,0.004297385,0.097,1.560792883,291.5
1999-11-03,-0.005292665,0.05,0.003082722,0.0955,1.552553951,292.4
1999-11-04,0.00998604,0.05,0.002049881,0.1045,1.568135487,293
1999-11-05,-0.002349441,0.05,-0.008569033,0.0955,1.564455569,290.5
1999-11-08,0.002976892,0.05,-0.002585094,0.0945,1.569119724,289.75
1999-11-09,-0.00156789,0.05,0.0104713,0.094,1.566661444,292.8
1999-11-10,-0.003752936,0.05,0.018442279,0.091,1.560792883,298.25
1999-11-11,-0.003583396,0.05,-0.014352294,0.0885,1.555209953,294
1999-11-12,-0.003570601,0.05,-0.009226103,0.0855,1.549666822,291.3
1999-11-15,-0.001084179,0.05,0.000686342,0.0885,1.547987616,291.5
1999-11-16,0.006366975,0.05,0.008981841,0.086,1.557875058,294.13
1999-11-17,0.003745907,0.05,0.000747689,0.086,1.563721658,294.35
1999-11-18,0.001564946,0.05,-0.000339789,0.08425,1.566170713,294.25
1999-11-19,-0.000782779,0.05,0.00254561,0.0785,1.564945227,295
1999-11-22,0.002663952,0.05,-0.001696353,0.07875,1.569119724,294.5
1999-11-23,0.001884719,0.05,0.011478857,0.0795,1.572079862,297.9
1999-11-24,0.005833678,0.05,0.001174201,0.0815,1.581277672,298.25
1999-11-25,-0.005361943,0.05,0,0.0865,1.572821642,298.25
1999-11-26,0.00125905,0.05,-0.003795963,0.085,1.57480315,297.12
1999-11-29,-0.003929278,0.05,-0.02081283,0.08825,1.568627451,291
1999-11-30,0.00094162,0.05,-0.00103146,0.0885,1.570105197,290.7
1999-12-01,0.001099678,0.05,-0.004136511,0.088,1.571832757,289.5
1999-12-02,0.004726651,0.05,-0.015666117,0.0875,1.579279848,285
1999-12-03,0.001580528,0.05,-0.018414118,0.08875,1.581777918,279.8
1999-12-06,-0.005678249,0.05,-0.013311943,0.09,1.572821642,276.1
1999-12-07,-0.000786102,0.05,0.034354184,0.0885,1.57158573,285.75
1999-12-08,-0.003138242,0.05,-0.013387552,0.08525,1.566661444,281.95
1999-12-09,-0.002347235,0.05,-0.014540384,0.084,1.562988434,277.88
1999-12-10,0.007373161,0.05,0.003843188,0.086,1.574555188,278.95
1999-12-13,0.002522467,0.05,0.00472087,0.084,1.578531965,280.27
1999-12-14,-0.002994722,0.05,-0.001142408,0.0795,1.573811772,279.95
1999-12-15,-0.000786596,0.05,0.010022831,0.0765,1.572574304,282.77
1999-12-16,-0.010792316,0.05,-0.002904096,0.077,1.555693839,281.95
1999-12-17,0,0.05,0.005835044,0.0785,1.555693839,283.6
1999-12-20,0.001868577,0.05,0.001937473,0.078,1.558603491,284.15
1999-12-21,-0.003267723,0.05,0.011651025,0.0765,1.55351872,287.48
1999-12-22,-0.000310655,0.05,-0.001496876,0.0815,1.553036186,287.05
1999-12-23,-0.002946424,0.05,-0.000348432,0.08125,1.548467018,286.95
1999-12-24,0.00387868,0.05,0.002366947,0.0815,1.554484688,287.63
1999-12-27,-0.002639138,0.05,0.000417116,0.082,1.550387597,287.75
1999-12-28,0.000620347,0.05,0.006235946,0.0825,1.551349674,289.55
1999-12-29,-0.010340396,0.05,0.003103451,0.0855,1.535390757,290.45
1999-12-30,-0.003372168,0.05,-0.008297368,0.0915,1.530221882,288.05
1999-12-31,-0.00488476,0.05,-0.000173596,0.096,1.522765342,288
2000-01-03,-0.005466984,0.05,0.003466208,0.09725,1.514463123,289
2000-01-04,0.005771583,0.05,-0.023633485,0.09825,1.523229246,282.25
2000-01-05,0.000457073,0.05,-0.0080036,0.0955,1.523925632,280
2000-01-06,0.002135775,0.05,0.003920875,0.092,1.527183873,281.1
2000-01-07,-0.000152707,0.05,0.002309675,0.091,1.526950679,281.75
2000-01-10,-0.001983068,0.05,-0.000958756,0.09,1.523925632,281.48
2000-01-11,-0.002587324,0.05,0.006268503,0.09,1.51998784,283.25
2000-01-12,0,0.05,-0.003182464,0.0905,1.51998784,282.35
2000-01-13,-0.013887016,0.05,0.006706697,0.0965,1.499025633,284.25
2000-01-14,0.002100841,0.05,-0.000175917,0.093,1.502178158,284.2
2000-01-17,0.00315956,0.05,0.004563813,0.0905,1.506931887,285.5
2000-01-18,-0.002107482,0.05,0.010972852,0.09,1.503759398,288.65
2000-01-19,0.002258187,0.05,0.003389365,0.0905,1.507159005,289.63
2000-01-20,-0.004661312,0.05,-0.00390916,0.09,1.500150015,288.5
2000-01-21,0.005566017,0.05,0.002077563,0.0875,1.508523156,289.1
2000-01-24,0.014587707,0.05,-0.005202023,0.091,1.530690341,287.6
2000-01-25,-0.001376673,0.05,-0.001914209,0.09075,1.528584531,287.05
2000-01-26,0.004135719,0.05,-0.003664606,0.08975,1.534919417,286
2000-01-27,-0.005663136,0.05,0.00296762,0.091,1.526251526,286.85
2000-01-28,0.031315534,0.05,-0.012629531,0.1075,1.57480315,283.25
2000-01-31,0,0.05,0.000882223,0.107,1.57480315,283.5
2000-02-01,0.005052111,0.05,-0.003073501,0.1105,1.582779361,282.63
2000-02-02,-0.00552444,0.055,0.007472981,0.105,1.574059499,284.75
2000-02-03,-0.003770625,0.055,0.00943733,0.10625,1.568135487,287.45
2000-02-04,-0.00047033,0.055,0.076490639,0.1065,1.567398119,310.3
2000-02-07,0.003611529,0.055,-0.024632189,0.1055,1.573069058,302.75
2000-02-08,0.002993307,0.055,-0.003308522,0.11,1.57778479,301.75
2000-02-09,-0.001576541,0.055,0.016434224,0.1105,1.575299307,306.75
2000-02-10,0.006162617,0.055,0.026539555,0.111,1.585037248,315
2000-02-11,0.000634216,0.055,-0.012940511,0.10925,1.586042823,310.95
2000-02-14,0.00445081,0.055,-0.00904545,0.1075,1.593117731,308.15
2000-02-15,-0.002227881,0.055,-0.020987817,0.1095,1.589572405,301.75
2000-02-16,-0.00190567,0.055,0.002482417,0.1075,1.586546089,302.5
2000-02-17,-0.002851713,0.055,-0.006633523,0.105,1.58202816,300.5
2000-02-18,0.004439519,0.055,0.014864023,0.1045,1.589067218,305
2000-02-21,0.003502073,0.055,0.001638002,0.107,1.594642003,305.5
2000-02-22,0.001436209,0.055,-0.003607153,0.107,1.596933887,304.4
2000-02-23,0.009950331,0.055,-0.014560151,0.1185,1.612903226,300
2000-02-24,0.008910549,0.055,-0.005012542,0.119,1.6273393,298.5
2000-02-25,-0.000975927,0.055,-0.019963444,0.115,1.62575191,292.6
2000-02-28,0.005215986,0.055,-0.002909217,0.123,1.634253963,291.75
2000-02-29,-0.005703592,0.055,0.001541228,0.116,1.624959376,292.2
2000-03-01,0.011933121,0.055,-0.008420017,0.1275,1.644466371,289.75
2000-03-02,0.002469747,0.055,-0.004323396,0.123,1.648532806,288.5
2000-03-03,-0.002962965,0.055,0.001039321,0.122,1.64365549,288.8
2000-03-06,0.01157229,0.055,-0.004059475,0.1295,1.662786831,287.63
2000-03-07,-0.00282275,0.055,0.019350556,0.12525,1.658099818,293.25
2000-03-08,-0.010719984,0.055,-0.01761372,0.121,1.640419948,288.13
2000-03-09,-0.009956828,0.055,0.010598549,0.112,1.624167614,291.2
2000-03-10,0.000974976,0.055,-0.007583628,0.112,1.62575191,289
2000-03-13,-0.001137379,0.055,0.005865119,0.114,1.623903865,290.7
2000-03-14,0.002438827,0.055,-0.006280431,0.111,1.627869119,288.88
2000-03-15,0.001629196,0.055,-0.000103855,0.1135,1.630523398,288.85
2000-03-16,0.004903573,0.055,-0.008168986,0.111,1.638538424,286.5
2000-03-17,0.005916205,0.055,-0.00665385,0.1145,1.648261085,284.6
2000-03-20,-0.000329598,0.055,0.007979324,0.116,1.647717911,286.88
2000-03-21,-0.004767002,0.055,0.009540236,0.113,1.639881929,289.63
2000-03-22,0.006746221,0.055,-0.00606052,0.112,1.650982334,287.88
2000-03-23,0.00099108,0.055,-0.005608305,0.1125,1.652619402,286.27
2000-03-24,-0.005767504,0.055,-0.004446241,0.108,1.643115347,285
2000-03-27,-0.0044266,0.055,-0.016628722,0.105,1.635858008,280.3
2000-03-28,-0.004732771,0.055,-0.003216011,0.1045,1.628134158,279.4
2000-03-29,0.002445188,0.055,-0.010795355,0.106,1.632120124,276.4
2000-03-30,0.000489756,0.055,0.00126548,0.104,1.63291966,276.75
2000-03-31,0.008692142,0.055,0.008383907,0.108,1.647175095,279.08
2000-04-03,-0.000329381,0.055,-0.0031582,0.109,1.646632636,278.2
2000-04-04,0.001977914,0.055,0.022217212,0.118,1.649892757,284.45
2000-04-05,0,0.0575,-0.010425044,0.1185,1.649892757,281.5
2000-04-06,0.005791362,0.0575,-0.003558723,0.1185,1.659475606,280.5
2000-04-07,0.006660031,0.0575,-0.001784122,0.12,1.670564651,280
2000-04-10,0.000334169,0.0575,0.007117468,0.119,1.671122995,282
2000-04-11,0.004522242,0.0575,-0.000709471,0.1185,1.678697331,281.8
2000-04-12,-0.00167729,0.0575,0.000886761,0.114,1.675884029,282.05
2000-04-13,-0.002009041,0.0575,-0.001596736,0.109,1.672520488,281.6
2000-04-14,0.000501882,0.0575,0.003544846,0.106,1.673360107,282.6
2000-04-17,0.008570761,0.0575,-0.004326401,0.12,1.687763713,281.38
2000-04-18,-0.004546611,0.0575,-0.000284353,0.11225,1.680107527,281.3
2000-04-19,-0.001343184,0.0575,-0.002135232,0.107,1.677852349,280.7
2000-04-20,0.005046268,0.0575,-0.00249688,0.105,1.686340641,280
2000-04-21,-0.002358094,0.0575,0,0.10575,1.682368775,280
2000-04-24,-0.00134499,0.0575,-0.000714541,0.1065,1.680107527,279.8
2000-04-25,0.002354921,0.0575,-0.005016134,0.108,1.68406871,278.4
2000-04-26,0.009985697,0.0575,-0.00909294,0.112,1.700969553,275.88
2000-04-27,0.000680619,0.0575,0.004232007,0.112,1.70212766,277.05
2000-04-28,0.006146511,0.0575,-0.012713575,0.115,1.712622024,273.55
2000-05-01,0.003602989,0.0575,-0.000731395,0.11025,1.718803713,273.35
2000-05-02,-0.007363677,0.0575,0.005836238,0.1175,1.706193482,274.95
2000-05-03,-0.010185116,0.06,0.011930727,0.121,1.688903901,278.25
2000-05-04,0.000337838,0.06,0.006091026,0.12,1.689474573,279.95
2000-05-05,-0.00774154,0.06,-0.003578462,0.122,1.676445935,278.95
2000-05-08,0.021178259,0.06,-0.007990253,0.1265,1.712328767,276.73
2000-05-09,0.000685166,0.06,0.001877325,0.134,1.713502399,277.25
2000-05-10,0.003260966,0.06,0.001801802,0.128,1.719099192,277.75
2000-05-11,0.006727063,0.06,-0.006501739,0.13,1.730702665,275.95
2000-05-12,-0.005695071,0.06,0.000724506,0.126,1.720874204,276.15
2000-05-15,0.014211678,0.06,-0.002538072,0.133,1.745505324,275.45
2000-05-16,-0.006611019,0.06,0.000725821,0.132,1.734003815,275.65
